date,1d,full
2020-12-19,1012,303
2020-12-21,1012,303
2020-12-22,1012,303
2020-12-23,1012,303
2020-12-24,1012,303
2020-12-25,1012,303
2020-12-26,1012,303
2020-12-27,1012,303
2020-12-28,1012,303
2020-12-29,1012,303
2020-12-30,1012,303
2020-12-31,1043,303
2021-01-01,1193,303
2021-01-02,1193,303
2021-01-03,1193,303
2021-01-04,1193,303
2021-01-05,1193,303
2021-01-06,1193,303
2021-01-07,1193,303
2021-01-08,1193,303
2021-01-09,1193,303
2021-01-10,1193,463
2021-01-11,1193,610
2021-01-12,1193,610
2021-01-13,1193,610
2021-01-14,1193,610
2021-01-15,1675,610
2021-01-16,1946,610
2021-01-17,1946,610
2021-01-18,1946,610
2021-01-19,1946,610
2021-01-20,1946,692
2021-01-21,1946,902
2021-01-22,1946,902
2021-01-23,1946,902
2021-01-24,1946,902
2021-01-25,1946,902
2021-01-26,1946,902
2021-01-27,1946,902
2021-01-28,1946,902
2021-01-29,1699,902
2021-01-30,393,902
2021-01-31,393,2493
2021-02-01,393,2705
2021-02-02,393,2705
2021-02-03,393,2705
2021-02-04,393,2705
2021-02-05,393,2705
2021-02-06,393,2705
2021-02-07,393,2705
2021-02-08,393,2705
2021-02-09,393,2705
2021-02-10,393,1976
2021-02-11,393,1202
2021-02-12,178,1202
2021-02-13,746,1202
2021-02-14,746,1202
2021-02-15,746,1202
2021-02-16,746,1202
2021-02-17,746,1202
2021-02-18,746,1202
2021-02-19,746,1202
2021-02-20,746,1257
2021-02-21,746,1831
2021-02-22,746,1831
2021-02-23,746,1831
2021-02-24,746,1831
2021-02-25,746,1831
2021-02-26,671,1831
2021-02-27,644,1831
2021-02-28,644,1831
2021-03-01,644,1831
2021-03-02,644,1831
2021-03-03,644,1855
2021-03-04,644,1860
2021-03-05,644,1860
2021-03-06,1335,1860
2021-03-07,3631,1860
2021-03-08,3631,1860
2021-03-09,3631,1860
2021-03-10,3553,1860
2021-03-11,3261,1860
2021-03-12,3261,1860
2021-03-13,3261,2892
2021-03-14,3261,3209
2021-03-15,3261,3209
2021-03-16,3261,3209
2021-03-17,3261,3209
2021-03-18,3261,3209
2021-03-19,3261,3209
2021-03-20,3261,3209
2021-03-21,3261,3209
2021-03-22,4108,3209
2021-03-23,5106,3185
2021-03-24,5106,2747
2021-03-25,5106,2747
2021-03-26,5106,2747
2021-03-27,5106,2747
2021-03-28,5106,2747
2021-03-29,5106,2747
2021-03-30,4204,2747
2021-03-31,2950,2747
2021-04-01,2950,2747
2021-04-02,2950,2747
2021-04-03,2950,7209
2021-04-04,2950,8240
2021-04-05,2950,8240
2021-04-06,2950,8240
2021-04-07,2950,8240
2021-04-08,8924,8240
2021-04-09,2619,8240
2021-04-10,957,8240
2021-04-11,957,8240
2021-04-12,957,8240
2021-04-13,957,7890
2021-04-14,957,7629
2021-04-15,957,7629
2021-04-16,957,7629
2021-04-17,957,7629
2021-04-18,957,7629
2021-04-19,957,7629
2021-04-20,371,7629
2021-04-21,2459,7629
2021-04-22,2459,7629
2021-04-23,2459,6792
2021-04-24,2459,5109
2021-04-25,2459,5109
2021-04-26,2459,5109
2021-04-27,2459,5109
2021-04-28,2015,5109
2021-04-29,2000,5109
2021-04-30,2000,5109
2021-05-01,2000,5109
2021-05-02,2000,5109
2021-05-03,2000,5109
2021-05-04,2000,5183
2021-05-05,2000,5188
2021-05-06,2000,5188
2021-05-07,2485,5188
2021-05-08,2575,5188
2021-05-09,2575,5188
2021-05-10,2575,5188
2021-05-11,2575,5188
2021-05-12,2575,5188
2021-05-13,2575,5188
2021-05-14,2575,3435
2021-05-15,1996,2665
2021-05-16,868,2665
2021-05-17,868,2665
2021-05-18,868,2665
2021-05-19,868,2665
2021-05-20,777,2665
2021-05-21,246,2665
2021-05-22,246,2665
2021-05-23,246,2665
2021-05-24,246,2565
2021-05-25,246,1951
2021-05-26,246,1951
2021-05-27,246,1951
2021-05-28,3,1951
2021-05-29,123,1951
2021-05-30,123,1951
2021-05-31,123,1951
2021-06-01,123,1951
2021-06-02,123,1951
2021-06-03,123,28244
2021-06-04,0,16016
2021-06-05,0,3662
2021-06-06,0,3662
2021-06-07,0,3662
2021-06-08,0,3662
2021-06-09,0,3662
2021-06-10,0,3662
2021-06-11,0,3662
2021-06-12,0,3662
2021-06-13,0,3662
2021-06-14,0,3068
2021-06-15,0,2480
2021-06-16,0,2480
2021-06-17,0,2480
2021-06-18,0,2480
2021-06-19,0,2480
2021-06-20,0,2508
2021-06-21,0,2620
2021-06-22,0,2620
2021-06-23,0,2620
2021-06-24,0,2620
2021-06-25,0,2620
2021-06-26,0,2620
2021-06-27,0,2620
2021-06-28,0,2620
2021-06-29,0,1797
2021-06-30,0,1653
2021-07-01,0,1653
2021-07-02,0,1653
2021-07-03,0,1653
2021-07-04,0,1630
2021-07-05,0,1526
2021-07-06,0,1526
2021-07-07,0,1526
2021-07-08,0,1526
2021-07-09,0,1526
2021-07-10,0,1526
2021-07-11,0,1526
2021-07-12,0,1526
2021-07-13,0,1526
2021-07-14,0,1526
2021-07-15,0,1787
2021-07-16,0,1803
2021-07-17,0,1803
2021-07-18,0,1803
2021-07-19,0,1803
2021-07-20,0,1803
2021-07-21,0,1803
2021-07-22,0,1803
2021-07-23,0,1803
2021-07-24,0,1803
2021-07-25,0,1293
2021-07-26,0,862
2021-07-27,0,862
2021-07-28,0,862
2021-07-29,0,862
2021-07-30,0,862
2021-07-31,0,862
2021-08-01,0,862
2021-08-02,0,862
2021-08-03,0,862
2021-08-04,0,862
2021-08-05,0,1324
2021-08-06,0,1550
2021-08-07,0,1550
2021-08-08,0,1550
2021-08-09,0,1550
2021-08-10,0,1550
2021-08-11,0,1550
2021-08-12,0,1550
2021-08-13,0,1550
2021-08-14,0,1550
2021-08-15,0,1876
2021-08-16,0,2104
2021-08-17,0,2104
2021-08-18,0,2104
2021-08-19,0,2104
2021-08-20,0,2104
2021-08-21,0,2104
2021-08-22,0,2104
2021-08-23,0,2104
2021-08-24,0,2104
2021-08-25,0,1924
2021-08-26,0,1167
2021-08-27,0,1167
2021-08-28,0,1167
2021-08-29,0,1167
2021-08-30,0,1167
2021-08-31,0,1167
2021-09-01,0,1167
