zip,total,1d,full,percent
33503,162,69,50,0.009022604
33510,29319,13923,11348,1.820604488
33511,58194,28446,22946,3.719666399
33523,18666,16,5,0.002092198
33527,15041,6909,5355,0.90343722
33534,17046,6731,5307,0.880161518
33547,25666,15678,12749,2.050092449
33548,7222,4975,4000,0.650542795
33549,17894,7379,5981,0.964895534
33556,23161,12993,10535,1.698995483
33558,24201,14517,12002,1.898277337
33559,18313,4167,3357,0.544886799
33563,27845,11099,8582,1.451331553
33565,17779,8931,6079,1.167838733
33566,21352,10450,8234,1.366466775
33567,12184,4949,3895,0.647142973
33569,28303,15152,12241,1.981311442
33570,29828,14263,10761,1.865063694
33572,20361,13220,10542,1.728678542
33573,22793,22817,17997,2.983605014
33578,52390,27589,22457,3.607603047
33579,35823,20397,16442,2.667160077
33584,26587,12426,10090,1.624853219
33592,11447,4719,3690,0.617067628
33594,34905,18253,14846,2.386805554
33596,30617,16329,13351,2.135218752
33598,19849,12804,9773,1.674281395
33602,15468,11882,9997,1.55371849
33603,21244,10647,8717,1.392226962
33604,39341,19398,15670,2.536528468
33605,17513,7815,6339,1.021907928
33606,17156,12674,10765,1.657282287
33607,24345,14813,11768,1.936982998
33609,18338,11537,9576,1.508605472
33610,46337,16777,13180,2.193800294
33611,32770,19575,16040,2.559673408
33612,51376,20418,15765,2.669906086
33613,35458,16897,13404,2.209491779
33614,48439,28487,22532,3.725027656
33615,47263,27554,21514,3.603026364
33616,16695,7289,5985,0.953126921
33617,46561,21135,17006,2.763662706
33618,27159,16831,13659,2.200861462
33619,37505,16635,13211,2.175232038
33620,11,602,451,0.078718947
33621,2413,416,295,0.054397146
33624,39593,23801,19198,3.112275187
33625,27285,17521,14212,2.291087498
33626,30743,20678,17311,2.703904303
33629,26953,17605,14868,2.302071537
33634,22689,12879,10252,1.684088573
33635,18643,10729,8669,1.402949476
33637,17516,8192,6627,1.071205341
33647,70811,42758,35622,5.59113745
Total,1446573,764746,615248,100
